"","place","room_type","price","neighbourhood_cleansed","minimum_nights"
"106","Antwerp","Entire home/apt",284,"Stadspark",3
"107","Antwerp","Private room",241,"Borgerhout Intra Muros Noord",1
"108","Antwerp","Entire home/apt",23,"Zuid",2
"109","Antwerp","Entire home/apt",25,"Oud - Berchem",2
"110","Antwerp","Entire home/apt",234,"Harmonie",3
"111","Antwerp","Entire home/apt",295,"Historisch Centrum",2
"112","Antwerp","Entire home/apt",227,"Amandus - Atheneum",2
"113","Antwerp","Private room",223,"Zuid",2
"114","Antwerp","Entire home/apt",203,"Borgerhout Intra Muros Noord",1
"115","Antwerp","Entire home/apt",25,"Stadspark",2
"116","Antwerp","Entire home/apt",90,"Universiteitsbuurt",2
"117","Antwerp","Private room",225,"Oud - Berchem",1
"118","Antwerp","Entire home/apt",249,"Borgerhout Intra Muros Zuid",3
"119","Antwerp","Private room",144,"Borgerhout Intra Muros Zuid",1
"120","Antwerp","Private room",266,"Harmonie",1
"121","Antwerp","Private room",234,"Hoboken - Centrum",1
"122","Antwerp","Entire home/apt",266,"Amandus - Atheneum",1
"123","Antwerp","Entire home/apt",240,"Borgerhout Intra Muros Zuid",2
"124","Antwerp","Private room",266,"Harmonie",1
"125","Antwerp","Entire home/apt",107,"Eilandje",2
"126","Antwerp","Private room",243,"Zurenborg",1
"127","Antwerp","Entire home/apt",90,"Stuivenberg",2
"128","Antwerp","Entire home/apt",50,"Universiteitsbuurt",2
"129","Antwerp","Entire home/apt",219,"Universiteitsbuurt",2
"130","Antwerp","Entire home/apt",299,"Zuid",2
"131","Antwerp","Entire home/apt",205,"Markgrave",2
"132","Antwerp","Entire home/apt",243,"Historisch Centrum",1
"133","Antwerp","Entire home/apt",225,"Stadspark",1
"134","Antwerp","Private room",225,"Stadspark",1
"135","Antwerp","Private room",203,"Historisch Centrum",2
"136","Antwerp","Entire home/apt",203,"Eilandje",1
"137","Antwerp","Entire home/apt",249,"Harmonie",2
"138","Antwerp","Entire home/apt",266,"Sint-Andries",1
"139","Antwerp","Entire home/apt",66,"Eilandje",2
"140","Antwerp","Entire home/apt",241,"Theaterbuurt-Meir",2
"141","Antwerp","Private room",185,"Zurenborg",1
"142","Antwerp","Private room",223,"Universiteitsbuurt",3
"143","Antwerp","Entire home/apt",99,"Historisch Centrum",2
"144","Antwerp","Entire home/apt",243,"Borgerhout Intra Muros Noord",1
"145","Antwerp","Entire home/apt",138,"Stadspark",80
"146","Antwerp","Entire home/apt",138,"Stadspark",80
"147","Antwerp","Private room",23,"Stadspark",2
"148","Antwerp","Entire home/apt",85,"Borgerhout Intra Muros Noord",2
"149","Antwerp","Hotel room",249,"Universiteitsbuurt",2
"150","Antwerp","Entire home/apt",281,"Zurenborg",7
"151","Antwerp","Entire home/apt",266,"Theaterbuurt-Meir",2
"152","Antwerp","Entire home/apt",299,"Theaterbuurt-Meir",7
"153","Antwerp","Entire home/apt",73,"Historisch Centrum",2
"154","Antwerp","Entire home/apt",14,"Haringrode",2
"155","Antwerp","Entire home/apt",293,"Borgerhout Intra Muros Zuid",2
"156","Antwerp","Private room",243,"Haringrode",1
"157","Antwerp","Entire home/apt",249,"Eilandje",3
"158","Antwerp","Entire home/apt",275,"Borgerhout Intra Muros Noord",3
