"","X","id","listing_url","host_id","host_url","host_name","host_since","host_location","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_thumbnail_url","host_picture_url","host_neighbourhood","host_listings_count","host_total_listings_count","host_verifications","host_has_profile_pic","host_identity_verified","street","neighbourhood","neighbourhood_cleansed","neighbourhood_group_cleansed","city","state","zipcode","market","smart_location","country_code","country","latitude","longitude","is_location_exact","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","square_feet","price","weekly_price","monthly_price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","maximum_nights","minimum_minimum_nights","maximum_minimum_nights","minimum_maximum_nights","maximum_maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","has_availability","availability_30","availability_60","availability_90","availability_365","calendar_last_scraped","number_of_reviews","number_of_reviews_ltm","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","jurisdiction_names","instant_bookable","is_business_travel_ready","cancellation_policy","require_guest_profile_picture","require_guest_phone_verification","calculated_host_listings_count","calculated_host_listings_count_entire_homes","calculated_host_listings_count_private_rooms","calculated_host_listings_count_shared_rooms","reviews_per_month","place"
"2456",2475,71744,"https://www.airbnb.com/rooms/71744",368362,"https://www.airbnb.com/users/show/368362","Amandine","1/30/2011","City of Brussels, Brussels, Belgium","within an hour","100%","75%","f","https://a0.muscache.com/im/pictures/user/db033679-317d-4490-af08-e749549fe2e6.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/db033679-317d-4490-af08-e749549fe2e6.jpg?aki_policy=profile_x_medium","Beguinage-Dixmude",1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual']","t","f","Bruxelles, Bruxelles, Belgium","Beguinage-Dixmude","Bruxelles",NA,"Brussel","Bruxelles","1000","Brussels","Bruxelles, Belgium","BE","Belgium",50.85427,4.34842,"t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",807,"$60.00 ","$600.00 ","$1,800.00 ","$100.00 ","$15.00 ",2,"$15.00 ",2,1125,2,2,1125,1125,2,1125,"t",0,0,0,0,"4/19/2020",12,5,"9/23/2017","8/12/2019",98,10,10,10,10,10,10,NA,"f","f","moderate","f","f",1,1,0,0,0.38,"Brussels"
"2457",2482,97740,"https://www.airbnb.com/rooms/97740",517059,"https://www.airbnb.com/users/show/517059","Beno鍗痶","4/18/2011","Brussels, Bruxelles, Belgium","N/A","N/A","100%","f","https://a0.muscache.com/im/users/517059/profile_pic/1381480483/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/517059/profile_pic/1381480483/original.jpg?aki_policy=profile_x_medium","Schaerbeek",2,2,"['email', 'phone', 'reviews']","t","f","Brussels, Brussels, Belgium","Schaerbeek","Schaerbeek",NA,"Brussel","Brussels","1030","Brussels","Brussels, Belgium","BE","Belgium",50.86986,4.37712,"t","Bed and breakfast","Hotel room",4,1,2,3,"Real Bed",700,"$95.00 ","$490.00 ","$1,270.00 ","$0.00 ","$0.00 ",1,"$45.00 ",2,30,2,2,1125,1125,2,1125,"t",0,0,0,0,"4/19/2020",3,0,"1/23/2012","5/26/2016",93,9,10,9,10,9,10,NA,"t","f","strict_14_with_grace_period","f","f",2,0,1,0,0.03,"Brussels"
"2458",2486,130097,"https://www.airbnb.com/rooms/130097",641036,"https://www.airbnb.com/users/show/641036","Pascal","5/30/2011","Brussels, Brussels, Belgium","within an hour","100%","100%","t","https://a0.muscache.com/im/users/641036/profile_pic/1307443360/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/641036/profile_pic/1307443360/original.jpg?aki_policy=profile_x_medium","Grand Place",2,2,"['email', 'phone', 'reviews', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']","t","f","Brussels, Brussels, Belgium","Bruxelles-Ville","Bruxelles",NA,"Brussel","Brussels","1000","Brussels","Brussels, Belgium","BE","Belgium",50.84582,4.34954,"t","Bed and breakfast","Hotel room",2,1,1,1,"Real Bed",NA,"$97.00 ","","","$0.00 ","$0.00 ",2,"$0.00 ",1,1125,1,1,1125,1125,1,1125,"t",30,48,59,305,"4/19/2020",31,3,"6/19/2011","10/15/2019",99,10,10,10,10,10,10,NA,"t","f","moderate","f","f",2,1,0,0,0.29,"Brussels"
"2459",2492,137971,"https://www.airbnb.com/rooms/137971",674142,"https://www.airbnb.com/users/show/674142","RAS Residence","6/7/2011","Brussels, Brussels, Belgium","within an hour","100%","79%","t","https://a0.muscache.com/im/users/674142/profile_pic/1343214070/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/674142/profile_pic/1343214070/original.jpg?aki_policy=profile_x_medium","Squares",8,8,"['email', 'phone', 'reviews', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']","t","f","Brussels, Brussels, Belgium","Bruxelles-Ville","Bruxelles",NA,"Brussel","Brussels","1000","Brussels","Brussels, Belgium","BE","Belgium",50.84607,4.37444,"t","Apartment","Entire home/apt",5,2,3,4,"Real Bed",1292,"$165.00 ","$1,350.00 ","$3,900.00 ","$300.00 ","$0.00 ",2,"$25.00 ",1,730,1,2,730,730,1,730,"t",27,57,77,352,"4/19/2020",120,31,"1/2/2012","2/9/2020",95,10,10,10,10,9,9,NA,"f","f","flexible","f","f",8,5,3,0,1.19,"Brussels"
"2460",2496,166510,"https://www.airbnb.com/rooms/166510",674142,"https://www.airbnb.com/users/show/674142","RAS Residence","6/7/2011","Brussels, Brussels, Belgium","within an hour","100%","79%","t","https://a0.muscache.com/im/users/674142/profile_pic/1343214070/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/674142/profile_pic/1343214070/original.jpg?aki_policy=profile_x_medium","Squares",8,8,"['email', 'phone', 'reviews', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']","t","f","Brussels, Brussels, Belgium","Bruxelles-Ville","Bruxelles",NA,"Brussel","Brussels","1000","Brussels","Brussels, Belgium","BE","Belgium",50.84603,4.37422,"t","Apartment","Entire home/apt",4,1,1,1,"Real Bed",753,"$150.00 ","$1,000.00 ","$2,750.00 ","$0.00 ","$0.00 ",2,"$25.00 ",1,730,1,2,730,730,1,730,"t",27,57,87,362,"4/19/2020",9,1,"10/24/2011","11/10/2019",98,10,10,10,10,9,10,NA,"f","f","flexible","f","f",8,5,3,0,0.09,"Brussels"
"2461",2501,227067,"https://www.airbnb.com/rooms/227067",1184505,"https://www.airbnb.com/users/show/1184505","Karolien","9/20/2011","Brussels, Brussels, Belgium","within an hour","100%","100%","f","https://a0.muscache.com/im/users/1184505/profile_pic/1317902598/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/1184505/profile_pic/1317902598/original.jpg?aki_policy=profile_x_medium","Bruxelles-Ville",1,1,"['email', 'phone', 'reviews', 'jumio', 'government_id']","t","f","Brussels, Brussel Hoofdstedelijk Gewest, Belgium","Bruxelles-Ville","Bruxelles",NA,"Brussel","Brussel Hoofdstedelijk Gewest","1020","Brussels","Brussels, Belgium","BE","Belgium",50.8791,4.35508,"t","Apartment","Entire home/apt",2,1,1,0,"Real Bed",NA,"$90.00 ","$280.00 ","$690.00 ","$200.00 ","$35.00 ",1,"$0.00 ",3,365,3,3,365,365,3,365,"t",20,20,20,96,"4/19/2020",72,4,"10/28/2011","2/18/2020",98,10,10,10,10,9,10,NA,"f","f","strict_14_with_grace_period","f","t",1,1,0,0,0.7,"Brussels"
"2462",2502,232262,"https://www.airbnb.com/rooms/232262",871030,"https://www.airbnb.com/users/show/871030","ApartmentsApart","7/26/2011","Brussels, Brussels, Belgium","within a few hours","90%","85%","f","https://a0.muscache.com/im/users/871030/profile_pic/1425910684/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/871030/profile_pic/1425910684/original.jpg?aki_policy=profile_x_medium","Grand Place",43,43,"['email', 'phone', 'reviews', 'manual_offline', 'jumio', 'government_id']","t","f","Brussels, Brussels, Belgium","Bruxelles-Ville","Bruxelles",NA,"Brussel","Brussels","1000","Brussels","Brussels, Belgium","BE","Belgium",50.8494,4.35085,"t","Guest suite","Entire home/apt",6,1.5,2,4,"Real Bed",0,"$150.00 ","$1,300.00 ","$3,900.00 ","$300.00 ","$0.00 ",4,"$25.00 ",1,365,1,4,365,365,1,365,"t",30,60,89,364,"4/19/2020",95,39,"11/12/2011","3/1/2020",88,9,9,9,9,10,9,NA,"f","f","flexible","f","t",43,42,0,0,0.92,"Brussels"
"2463",2503,232268,"https://www.airbnb.com/rooms/232268",871030,"https://www.airbnb.com/users/show/871030","ApartmentsApart","7/26/2011","Brussels, Brussels, Belgium","within a few hours","90%","85%","f","https://a0.muscache.com/im/users/871030/profile_pic/1425910684/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/871030/profile_pic/1425910684/original.jpg?aki_policy=profile_x_medium","Grand Place",43,43,"['email', 'phone', 'reviews', 'manual_offline', 'jumio', 'government_id']","t","f","Brussels, Brussels, Belgium","Bruxelles-Ville","Bruxelles",NA,"Brussel","Brussels","1000","Brussels","Brussels, Belgium","BE","Belgium",50.84763,4.35064,"t","Serviced apartment","Entire home/apt",6,1,2,4,"Real Bed",969,"$149.00 ","$1,000.00 ","$3,400.00 ","$300.00 ","$40.00 ",4,"$25.00 ",1,35,1,4,35,35,1,35,"t",28,58,88,363,"4/19/2020",35,5,"3/5/2013","1/2/2020",78,9,9,9,9,10,8,NA,"f","f","moderate","f","t",43,42,0,0,0.4,"Brussels"
"2464",2504,232354,"https://www.airbnb.com/rooms/232354",871030,"https://www.airbnb.com/users/show/871030","ApartmentsApart","7/26/2011","Brussels, Brussels, Belgium","within a few hours","90%","85%","f","https://a0.muscache.com/im/users/871030/profile_pic/1425910684/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/871030/profile_pic/1425910684/original.jpg?aki_policy=profile_x_medium","Grand Place",43,43,"['email', 'phone', 'reviews', 'manual_offline', 'jumio', 'government_id']","t","f","Brussels, Brussels, Belgium","Grand Place","Bruxelles",NA,"Brussel","Brussels","1000","Brussels","Brussels, Belgium","BE","Belgium",50.8494,4.35245,"t","Serviced apartment","Entire home/apt",4,1,1,2,"Real Bed",678,"$87.00 ","$680.00 ","$2,850.00 ","$300.00 ","",2,"$20.00 ",2,365,2,2,365,365,2,365,"t",30,51,81,353,"4/19/2020",10,0,"3/11/2014","3/23/2019",78,8,8,8,8,10,7,NA,"f","f","moderate","f","t",43,42,0,0,0.13,"Brussels"
"2465",2505,233899,"https://www.airbnb.com/rooms/233899",871030,"https://www.airbnb.com/users/show/871030","ApartmentsApart","7/26/2011","Brussels, Brussels, Belgium","within a few hours","90%","85%","f","https://a0.muscache.com/im/users/871030/profile_pic/1425910684/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/871030/profile_pic/1425910684/original.jpg?aki_policy=profile_x_medium","Grand Place",43,43,"['email', 'phone', 'reviews', 'manual_offline', 'jumio', 'government_id']","t","f","Brussels, Brussels, Belgium","Grand Place","Bruxelles",NA,"Brussel","Brussels","1000","Brussels","Brussels, Belgium","BE","Belgium",50.85059,4.35275,"t","Guest suite","Entire home/apt",6,2,2,4,"Real Bed",1324,"$149.00 ","$850.00 ","$3,400.00 ","$300.00 ","$0.00 ",4,"$20.00 ",2,40,2,4,40,40,2,40,"t",29,57,87,349,"4/19/2020",66,12,"12/7/2014","3/1/2020",88,9,9,9,9,10,9,NA,"f","f","moderate","f","t",43,42,0,0,1.01,"Brussels"
"2466",2506,233912,"https://www.airbnb.com/rooms/233912",871030,"https://www.airbnb.com/users/show/871030","ApartmentsApart","7/26/2011","Brussels, Brussels, Belgium","within a few hours","90%","85%","f","https://a0.muscache.com/im/users/871030/profile_pic/1425910684/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/871030/profile_pic/1425910684/original.jpg?aki_policy=profile_x_medium","Grand Place",43,43,"['email', 'phone', 'reviews', 'manual_offline', 'jumio', 'government_id']","t","f","Brussels, Brussels, Belgium","Bruxelles-Ville","Bruxelles",NA,"Brussel","Brussels","1000","Brussels","Brussels, Belgium","BE","Belgium",50.84913,4.3517,"t","Serviced apartment","Entire home/apt",6,1,2,4,"Real Bed",1216,"$150.00 ","$850.00 ","$3,000.00 ","$300.00 ","$0.00 ",4,"$25.00 ",2,365,2,4,365,365,2,365,"t",23,48,78,337,"4/19/2020",44,13,"3/3/2015","2/24/2020",90,9,9,9,9,10,9,NA,"f","f","moderate","f","t",43,42,0,0,0.7,"Brussels"
"2467",2507,233927,"https://www.airbnb.com/rooms/233927",871030,"https://www.airbnb.com/users/show/871030","ApartmentsApart","7/26/2011","Brussels, Brussels, Belgium","within a few hours","90%","85%","f","https://a0.muscache.com/im/users/871030/profile_pic/1425910684/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/871030/profile_pic/1425910684/original.jpg?aki_policy=profile_x_medium","Grand Place",43,43,"['email', 'phone', 'reviews', 'manual_offline', 'jumio', 'government_id']","t","f","Brussels, Brussels, Belgium","Grand Place","Bruxelles",NA,"Brussel","Brussels","1000","Brussels","Brussels, Belgium","BE","Belgium",50.84929,4.351,"t","Serviced apartment","Entire home/apt",6,2.5,2,4,"Real Bed",1281,"$150.00 ","$850.00 ","$3,400.00 ","$300.00 ","$0.00 ",4,"$20.00 ",1,365,1,4,365,365,1,365,"t",30,60,90,351,"4/19/2020",31,10,"9/20/2012","3/1/2020",87,9,9,9,9,10,9,NA,"f","f","moderate","f","t",43,42,0,0,0.34,"Brussels"
"2468",2508,233943,"https://www.airbnb.com/rooms/233943",871030,"https://www.airbnb.com/users/show/871030","ApartmentsApart","7/26/2011","Brussels, Brussels, Belgium","within a few hours","90%","85%","f","https://a0.muscache.com/im/users/871030/profile_pic/1425910684/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/871030/profile_pic/1425910684/original.jpg?aki_policy=profile_x_medium","Grand Place",43,43,"['email', 'phone', 'reviews', 'manual_offline', 'jumio', 'government_id']","t","f","Brussels, Brussels, Belgium","Grand Place","Bruxelles",NA,"Brussel","Brussels","1000","Brussels","Brussels, Belgium","BE","Belgium",50.84957,4.3527,"t","Serviced apartment","Entire home/apt",6,1.5,2,4,"Real Bed",1313,"$160.00 ","$859.00 ","$3,400.00 ","$300.00 ","$45.00 ",4,"$20.00 ",2,365,2,4,365,365,2,365,"t",26,54,79,341,"4/19/2020",7,1,"11/1/2012","11/24/2019",86,9,9,8,9,10,8,NA,"f","f","moderate","f","t",43,42,0,0,0.08,"Brussels"
"2469",2509,234001,"https://www.airbnb.com/rooms/234001",871030,"https://www.airbnb.com/users/show/871030","ApartmentsApart","7/26/2011","Brussels, Brussels, Belgium","within a few hours","90%","85%","f","https://a0.muscache.com/im/users/871030/profile_pic/1425910684/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/871030/profile_pic/1425910684/original.jpg?aki_policy=profile_x_medium","Grand Place",43,43,"['email', 'phone', 'reviews', 'manual_offline', 'jumio', 'government_id']","t","f","Brussels, Brussels, Belgium","Bruxelles-Ville","Bruxelles",NA,"Brussel","Brussels","1000","Brussels","Brussels, Belgium","BE","Belgium",50.85008,4.34812,"t","Serviced apartment","Entire home/apt",6,1.5,2,4,"Real Bed",1023,"$130.00 ","$850.00 ","$3,300.00 ","$300.00 ","$0.00 ",4,"$25.00 ",1,35,1,4,35,35,1,35,"t",28,58,88,363,"4/19/2020",59,17,"1/16/2012","3/8/2020",90,10,9,10,9,10,9,NA,"f","f","moderate","f","t",43,42,0,0,0.59,"Brussels"
"2470",2510,234031,"https://www.airbnb.com/rooms/234031",871030,"https://www.airbnb.com/users/show/871030","ApartmentsApart","7/26/2011","Brussels, Brussels, Belgium","within a few hours","90%","85%","f","https://a0.muscache.com/im/users/871030/profile_pic/1425910684/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/871030/profile_pic/1425910684/original.jpg?aki_policy=profile_x_medium","Grand Place",43,43,"['email', 'phone', 'reviews', 'manual_offline', 'jumio', 'government_id']","t","f","Brussels, Brussels, Belgium","Bruxelles-Ville","Bruxelles",NA,"Brussel","Brussels","1000","Brussels","Brussels, Belgium","BE","Belgium",50.84883,4.35157,"t","Serviced apartment","Entire home/apt",6,1.5,2,4,"Real Bed",1313,"$150.00 ","$850.00 ","$3,400.00 ","$300.00 ","$0.00 ",4,"$20.00 ",2,120,2,4,120,120,2,120,"t",30,60,90,351,"4/19/2020",29,0,"7/10/2012","12/16/2018",92,10,10,9,9,10,9,NA,"f","f","moderate","f","t",43,42,0,0,0.31,"Brussels"
"2471",2511,268652,"https://www.airbnb.com/rooms/268652",1408080,"https://www.airbnb.com/users/show/1408080","Luc","11/15/2011","Brussels, Brussels, Belgium","within an hour","100%","100%","t","https://a0.muscache.com/im/pictures/user/b9a49159-0dc9-4dcb-8904-4c5e962855c9.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/b9a49159-0dc9-4dcb-8904-4c5e962855c9.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']","t","t","Brussels, Brussels, Belgium","Dansaert","Bruxelles",NA,"Brussel","Brussels","1000","Brussels","Brussels, Belgium","BE","Belgium",50.85252,4.34222,"t","Loft","Entire home/apt",3,1,1,2,"Real Bed",NA,"$80.00 ","$430.00 ","$1,500.00 ","$0.00 ","$30.00 ",2,"$25.00 ",1,28,1,1,28,28,1,28,"t",17,38,61,67,"4/19/2020",204,18,"2/5/2012","3/8/2020",97,10,10,10,10,10,9,NA,"t","f","strict_14_with_grace_period","f","f",1,1,0,0,2.04,"Brussels"
"2472",2513,293138,"https://www.airbnb.com/rooms/293138",674142,"https://www.airbnb.com/users/show/674142","RAS Residence","6/7/2011","Brussels, Brussels, Belgium","within an hour","100%","79%","t","https://a0.muscache.com/im/users/674142/profile_pic/1343214070/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/674142/profile_pic/1343214070/original.jpg?aki_policy=profile_x_medium","Squares",8,8,"['email', 'phone', 'reviews', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']","t","f","Brussels, Brussels, Belgium","Bruxelles-Ville","Bruxelles",NA,"Brussel","Brussels","1000","Brussels","Brussels, Belgium","BE","Belgium",50.84603,4.37422,"t","Aparthotel","Private room",3,1,1,1,"Real Bed",0,"$120.00 ","$800.00 ","$2,400.00 ","$0.00 ","$0.00 ",2,"$25.00 ",1,365,1,2,365,365,1,365,"t",27,57,87,362,"4/19/2020",56,3,"8/4/2012","2/15/2020",96,9,10,10,9,9,9,NA,"f","f","flexible","f","f",8,5,3,0,0.6,"Brussels"
"2473",2514,293230,"https://www.airbnb.com/rooms/293230",674142,"https://www.airbnb.com/users/show/674142","RAS Residence","6/7/2011","Brussels, Brussels, Belgium","within an hour","100%","79%","t","https://a0.muscache.com/im/users/674142/profile_pic/1343214070/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/674142/profile_pic/1343214070/original.jpg?aki_policy=profile_x_medium","Squares",8,8,"['email', 'phone', 'reviews', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']","t","f","Brussels, Brussels, Belgium","Bruxelles-Ville","Bruxelles",NA,"Brussel","Brussels","1000","Brussels","Brussels, Belgium","BE","Belgium",50.84603,4.37422,"t","Apartment","Entire home/apt",4,1,1,1,"Real Bed",1076,"$150.00 ","$1,000.00 ","$2,750.00 ","$0.00 ","$0.00 ",2,"$25.00 ",1,365,1,2,365,365,1,365,"t",27,57,87,362,"4/19/2020",42,14,"7/8/2013","2/29/2020",94,10,9,10,10,9,9,NA,"f","f","flexible","f","f",8,5,3,0,0.51,"Brussels"
"2474",2515,293280,"https://www.airbnb.com/rooms/293280",674142,"https://www.airbnb.com/users/show/674142","RAS Residence","6/7/2011","Brussels, Brussels, Belgium","within an hour","100%","79%","t","https://a0.muscache.com/im/users/674142/profile_pic/1343214070/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/674142/profile_pic/1343214070/original.jpg?aki_policy=profile_x_medium","Squares",8,8,"['email', 'phone', 'reviews', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']","t","f","Brussels, Brussels, Belgium","Bruxelles-Ville","Bruxelles",NA,"Brussel","Brussels","1000","Brussels","Brussels, Belgium","BE","Belgium",50.84603,4.37422,"t","Aparthotel","Private room",3,1,1,1,"Real Bed",0,"$125.00 ","$850.00 ","$2,650.00 ","$0.00 ","$0.00 ",2,"$24.00 ",1,365,1,2,365,365,1,365,"t",27,57,87,362,"4/19/2020",91,18,"6/2/2014","3/2/2020",96,9,10,10,10,9,9,NA,"f","f","flexible","f","f",8,5,3,0,1.27,"Brussels"
"2475",2516,293281,"https://www.airbnb.com/rooms/293281",674142,"https://www.airbnb.com/users/show/674142","RAS Residence","6/7/2011","Brussels, Brussels, Belgium","within an hour","100%","79%","t","https://a0.muscache.com/im/users/674142/profile_pic/1343214070/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/674142/profile_pic/1343214070/original.jpg?aki_policy=profile_x_medium","Squares",8,8,"['email', 'phone', 'reviews', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']","t","f","Brussels, Brussels, Belgium","Bruxelles-Ville","Bruxelles",NA,"Brussel","Brussels","1000","Brussels","Brussels, Belgium","BE","Belgium",50.84603,4.37422,"t","Aparthotel","Private room",2,1,1,1,"Real Bed",0,"$115.00 ","$750.00 ","$2,100.00 ","$0.00 ","$0.00 ",2,"$23.00 ",1,365,1,2,365,365,1,365,"t",27,57,87,362,"4/19/2020",130,31,"4/9/2012","3/5/2020",97,10,9,10,9,9,9,NA,"f","f","flexible","f","f",8,5,3,0,1.33,"Brussels"
"2476",2520,348575,"https://www.airbnb.com/rooms/348575",1764707,"https://www.airbnb.com/users/show/1764707","Marcelo","2/17/2012","Brussels, Brussels, Belgium","within an hour","100%","95%","f","https://a0.muscache.com/im/pictures/user/fb453a36-1380-42e0-8246-aed883d30440.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/fb453a36-1380-42e0-8246-aed883d30440.jpg?aki_policy=profile_x_medium","Notre-Dame Aux Neiges",4,4,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual']","t","t","Brussels, Brussels, Belgium","Bruxelles-Ville","Bruxelles",NA,"Brussel","Brussels","1000","Brussels","Brussels, Belgium","BE","Belgium",50.84915,4.36475,"t","Apartment","Entire home/apt",3,1,1,2,"Real Bed",NA,"$90.00 ","$470.00 ","","","",2,"$20.00 ",90,1125,90,90,1125,1125,90,1125,"t",0,0,0,246,"4/19/2020",196,3,"5/25/2012","3/1/2020",94,10,9,10,10,10,9,NA,"f","f","strict_14_with_grace_period","f","f",3,3,0,0,2.04,"Brussels"
"2477",2521,348607,"https://www.airbnb.com/rooms/348607",1764707,"https://www.airbnb.com/users/show/1764707","Marcelo","2/17/2012","Brussels, Brussels, Belgium","within an hour","100%","95%","f","https://a0.muscache.com/im/pictures/user/fb453a36-1380-42e0-8246-aed883d30440.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/fb453a36-1380-42e0-8246-aed883d30440.jpg?aki_policy=profile_x_medium","Notre-Dame Aux Neiges",4,4,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual']","t","t","Brussels, Brussels, Belgium","Bruxelles-Ville","Bruxelles",NA,"Brussel","Brussels","1000","Brussels","Brussels, Belgium","BE","Belgium",50.84853,4.36345,"t","Apartment","Entire home/apt",4,1.5,1,3,"Real Bed",NA,"$90.00 ","$500.00 ","$1,300.00 ","","",2,"$20.00 ",30,1000,7,30,1000,1000,29.1,1000,"t",13,37,37,312,"4/19/2020",167,3,"4/30/2012","4/1/2020",93,9,9,9,10,10,9,NA,"f","f","strict_14_with_grace_period","f","f",3,3,0,0,1.72,"Brussels"
"2478",2522,362046,"https://www.airbnb.com/rooms/362046",1829845,"https://www.airbnb.com/users/show/1829845","Etienne","2/29/2012","Brussels, Brussels, Belgium","N/A","N/A","N/A","f","https://a0.muscache.com/im/users/1829845/profile_pic/1338820684/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/1829845/profile_pic/1338820684/original.jpg?aki_policy=profile_x_medium","",3,3,"['email', 'phone', 'facebook', 'reviews']","t","f","Brussels, Brussels, Belgium","Bruxelles-Ville","Bruxelles",NA,"Brussel","Brussels","1000","Brussels","Brussels, Belgium","BE","Belgium",50.84455,4.35252,"t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",NA,"$105.00 ","$500.00 ","$1,500.00 ","","",2,"$50.00 ",3,30,3,3,30,30,3,30,"t",0,0,0,0,"4/19/2020",6,0,"7/20/2012","2/15/2016",97,10,10,10,9,10,9,NA,"f","f","strict_14_with_grace_period","f","f",2,2,0,0,0.06,"Brussels"
"2479",2530,431251,"https://www.airbnb.com/rooms/431251",1928822,"https://www.airbnb.com/users/show/1928822","Bruno","3/15/2012","Brussels, Bruxelles, Belgium","within an hour","100%","100%","t","https://a0.muscache.com/im/pictures/user/9eb7aa0e-54bc-49ed-a322-2f4f2282b80a.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/9eb7aa0e-54bc-49ed-a322-2f4f2282b80a.jpg?aki_policy=profile_x_medium","Grand Place",1,1,"['email', 'phone', 'reviews', 'jumio', 'government_id']","t","f","Brussels, Brussels, Belgium","Grand Place","Bruxelles",NA,"Brussel","Brussels","1000","Brussels","Brussels, Belgium","BE","Belgium",50.84787,4.35639,"t","Apartment","Entire home/apt",4,2,2,2,"Real Bed",NA,"$140.00 ","$420.00 ","$1,480.00 ","$0.00 ","$0.00 ",2,"$0.00 ",15,130,15,15,130,130,15,130,"t",0,0,0,0,"4/19/2020",246,7,"9/6/2013","2/16/2020",97,10,10,10,10,10,10,NA,"f","f","strict_14_with_grace_period","f","f",1,1,0,0,3.05,"Brussels"
"2480",2533,444866,"https://www.airbnb.com/rooms/444866",2210565,"https://www.airbnb.com/users/show/2210565","Apartments","4/24/2012","Schaerbeek, Brussels, Belgium","within a few hours","100%","82%","f","https://a0.muscache.com/im/pictures/user/628e57ad-d923-438f-bc8d-5c2d9841b107.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/628e57ad-d923-438f-bc8d-5c2d9841b107.jpg?aki_policy=profile_x_medium","Grand Place",11,11,"['email', 'phone', 'reviews', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']","t","f","Brussels, Brussels, Belgium","Bruxelles-Ville","Bruxelles",NA,"Brussel","Brussels","1000","Brussels","Brussels, Belgium","BE","Belgium",50.84464,4.35197,"t","Serviced apartment","Entire home/apt",6,2,3,6,"Real Bed",2153,"$249.00 ","","","$500.00 ","$90.00 ",6,"$15.00 ",2,1125,2,2,15,1125,2,57.7,"t",23,46,66,231,"4/19/2020",97,6,"7/17/2012","8/20/2019",91,9,9,9,9,10,9,NA,"t","f","moderate","f","f",11,11,0,0,1.03,"Brussels"
