"","X","id","listing_url","host_id","host_url","host_name","host_since","host_location","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_thumbnail_url","host_picture_url","host_neighbourhood","host_listings_count","host_total_listings_count","host_verifications","host_has_profile_pic","host_identity_verified","street","neighbourhood","neighbourhood_cleansed","neighbourhood_group_cleansed","city","state","zipcode","market","smart_location","country_code","country","latitude","longitude","is_location_exact","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","square_feet","price","weekly_price","monthly_price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","maximum_nights","minimum_minimum_nights","maximum_minimum_nights","minimum_maximum_nights","maximum_maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","has_availability","availability_30","availability_60","availability_90","availability_365","calendar_last_scraped","number_of_reviews","number_of_reviews_ltm","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","jurisdiction_names","instant_bookable","is_business_travel_ready","cancellation_policy","require_guest_profile_picture","require_guest_phone_verification","calculated_host_listings_count","calculated_host_listings_count_entire_homes","calculated_host_listings_count_private_rooms","calculated_host_listings_count_shared_rooms","reviews_per_month","place"
"3584",6155,20781774,"https://www.airbnb.com/rooms/20781774",63715494,"https://www.airbnb.com/users/show/63715494","Burger","3/20/2016","Brussels, Brussels, Belgium","N/A","N/A","N/A","f","https://a0.muscache.com/im/pictures/user/f4a3d872-45fc-4a37-bf93-9e16f89d761a.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/f4a3d872-45fc-4a37-bf93-9e16f89d761a.jpg?aki_policy=profile_x_medium","",1,1,"['email', 'phone', 'facebook', 'reviews']","t","f","Bruxelles, Bruxelles, Belgium","Dansaert","Bruxelles",NA,"Brussel","Bruxelles","1000","Brussels","Bruxelles, Belgium","BE","Belgium",50.85236,4.34419,"f","Apartment","Private room",2,1,1,1,"Real Bed",NA,"$25.00 ","","","","",1,"$0.00 ",2,1125,2,2,1125,1125,2,1125,"t",0,0,0,0,"4/19/2020",1,0,"9/15/2017","9/15/2017",60,6,6,8,10,8,6,NA,"f","f","flexible","f","f",1,0,1,0,0.03,"Brussels"
"3585",6158,20799261,"https://www.airbnb.com/rooms/20799261",120891364,"https://www.airbnb.com/users/show/120891364","Adrien","3/15/2017","BE","within an hour","100%","100%","f","https://a0.muscache.com/im/pictures/user/b72e1592-6567-489c-9e5c-2221e8b55a4a.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/b72e1592-6567-489c-9e5c-2221e8b55a4a.jpg?aki_policy=profile_x_medium","Dansaert",4,4,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']","t","f","Bruxelles, Bruxelles, Belgium","Bruxelles-Ville","Bruxelles",NA,"Brussel","Bruxelles","1000","Brussels","Bruxelles, Belgium","BE","Belgium",50.84787,4.34919,"t","Condominium","Entire home/apt",6,1,2,3,"Real Bed",NA,"$115.00 ","","","$200.00 ","$25.00 ",4,"$15.00 ",2,1125,2,2,1125,1125,2,1125,"t",30,57,87,87,"4/19/2020",108,46,"9/9/2017","3/13/2020",91,9,9,10,10,10,9,NA,"t","f","moderate","f","f",4,4,0,0,3.4,"Brussels"
"3586",6159,20799399,"https://www.airbnb.com/rooms/20799399",120891364,"https://www.airbnb.com/users/show/120891364","Adrien","3/15/2017","BE","within an hour","100%","100%","f","https://a0.muscache.com/im/pictures/user/b72e1592-6567-489c-9e5c-2221e8b55a4a.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/b72e1592-6567-489c-9e5c-2221e8b55a4a.jpg?aki_policy=profile_x_medium","Dansaert",4,4,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']","t","f","Bruxelles, Bruxelles, Belgium","Grand Place","Bruxelles",NA,"Brussel","Bruxelles","1000","Brussels","Bruxelles, Belgium","BE","Belgium",50.84829,4.35141,"t","Condominium","Entire home/apt",6,1,2,3,"Real Bed",NA,"$115.00 ","","","$200.00 ","$25.00 ",4,"$15.00 ",2,1124,2,2,1124,1124,2,1124,"t",30,60,90,90,"4/19/2020",110,47,"9/15/2017","3/8/2020",91,9,9,10,10,10,9,NA,"t","f","moderate","f","f",4,4,0,0,3.48,"Brussels"
"3587",6160,20800146,"https://www.airbnb.com/rooms/20800146",149125942,"https://www.airbnb.com/users/show/149125942","Florence","9/4/2017","Brussels, Brussels, Belgium","N/A","N/A","N/A","f","https://a0.muscache.com/im/pictures/user/e80f1433-9a0a-4ea9-812a-2e81a594b301.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/e80f1433-9a0a-4ea9-812a-2e81a594b301.jpg?aki_policy=profile_x_medium","Grand Place",2,2,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']","t","f","Bruxelles, Bruxelles, Belgium","Bruxelles-Ville","Bruxelles",NA,"Brussel","Bruxelles","1000","Brussels","Bruxelles, Belgium","BE","Belgium",50.84558,4.35052,"t","Apartment","Entire home/apt",2,1,0,1,"Real Bed",NA,"$79.00 ","","","$0.00 ","$15.00 ",1,"$0.00 ",3,30,3,3,30,30,3,30,"t",0,0,0,0,"4/19/2020",18,0,"9/16/2017","2/17/2019",99,10,10,10,10,10,10,NA,"t","f","moderate","f","f",1,1,0,0,0.57,"Brussels"
"3588",6166,20845083,"https://www.airbnb.com/rooms/20845083",19293722,"https://www.airbnb.com/users/show/19293722","Pauline Et Elliot","8/1/2014","Brussels, Brussels, Belgium","within an hour","99%","98%","f","https://a0.muscache.com/im/pictures/user/46aa19bc-e47b-4d3b-9bb5-2e37fa362458.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/46aa19bc-e47b-4d3b-9bb5-2e37fa362458.jpg?aki_policy=profile_x_medium","Louise",104,104,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual', 'work_email']","t","f","Bruxelles, Bruxelles, Belgium","Uccle","Bruxelles",NA,"Brussel","Bruxelles","1000","Brussels","Bruxelles, Belgium","BE","Belgium",50.81602,4.37281,"t","Apartment","Entire home/apt",4,1,2,2,"Real Bed",NA,"$85.00 ","","","$200.00 ","$60.00 ",2,"$20.00 ",2,1125,2,7,1125,1125,2.4,1125,"t",0,3,3,3,"4/19/2020",40,8,"10/7/2017","2/23/2020",93,10,9,10,10,10,9,NA,"f","f","moderate","f","f",89,89,0,0,1.3,"Brussels"
"3589",6167,20872805,"https://www.airbnb.com/rooms/20872805",40533997,"https://www.airbnb.com/users/show/40533997","Cecile","8/4/2015","Kortenaken, Flanders, Belgium","within an hour","100%","100%","f","https://a0.muscache.com/im/pictures/user/5a1ec7f9-71ea-4a2a-aa60-2e340321e86d.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/5a1ec7f9-71ea-4a2a-aa60-2e340321e86d.jpg?aki_policy=profile_x_medium","Beguinage-Dixmude",3,3,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']","t","f","Brussel 1000, Brussels Hoofdstedelijk Gewest, Belgium","Bruxelles-Ville","Bruxelles",NA,"Brussel","Brussels Hoofdstedelijk Gewest","1000","Brussels","Brussel 1000, Belgium","BE","Belgium",50.85548,4.35478,"t","Condominium","Entire home/apt",3,1,1,0,"Real Bed",NA,"$70.00 ","","","","$36.00 ",1,"$0.00 ",2,1125,1,2,1125,1125,1.1,1125,"t",30,55,82,343,"4/19/2020",150,50,"9/28/2017","3/5/2020",91,9,10,9,9,9,9,NA,"t","f","moderate","f","f",3,3,0,0,4.81,"Brussels"
"3590",6171,20883158,"https://www.airbnb.com/rooms/20883158",22564746,"https://www.airbnb.com/users/show/22564746","Julie","10/15/2014","Brussels, Brussels, Belgium","within an hour","100%","100%","t","https://a0.muscache.com/im/pictures/user/e6eb1634-6833-4f53-878a-c85df30af995.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/e6eb1634-6833-4f53-878a-c85df30af995.jpg?aki_policy=profile_x_medium","Bruxelles-Ville",2,2,"['email', 'phone', 'reviews', 'jumio', 'government_id', 'work_email']","t","t","Bruxelles, Bruxelles, Belgium","Bruxelles-Ville","Bruxelles",NA,"Brussel","Bruxelles","1020","Brussels","Bruxelles, Belgium","BE","Belgium",50.87517,4.36053,"t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",NA,"$55.00 ","","","$0.00 ","$12.00 ",1,"$0.00 ",1,1125,1,2,1125,1125,1.6,1125,"t",0,0,0,0,"4/19/2020",21,9,"9/2/2018","1/26/2020",96,10,10,9,10,8,10,NA,"t","f","strict_14_with_grace_period","f","f",1,1,0,0,1.06,"Brussels"
"3591",6173,20893067,"https://www.airbnb.com/rooms/20893067",21192267,"https://www.airbnb.com/users/show/21192267","Alexander","9/10/2014","Brussels, Brussels, Belgium","N/A","N/A","N/A","f","https://a0.muscache.com/im/users/21192267/profile_pic/1410403106/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/21192267/profile_pic/1410403106/original.jpg?aki_policy=profile_x_medium","Uccle",1,1,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']","t","f","Bruxelles, Bruxelles, Belgium","Uccle","Bruxelles",NA,"Brussel","Bruxelles","1000","Brussels","Bruxelles, Belgium","BE","Belgium",50.8159,4.3721,"t","Apartment","Entire home/apt",3,2,2,2,"Real Bed",NA,"$60.00 ","","","$500.00 ","$30.00 ",1,"$0.00 ",1,1125,1,1,1125,1125,1,1125,"t",0,0,0,0,"4/19/2020",9,0,"8/26/2018","2/25/2019",100,10,10,10,10,10,10,NA,"t","f","flexible","f","f",1,1,0,0,0.45,"Brussels"
"3592",6174,20899434,"https://www.airbnb.com/rooms/20899434",150143318,"https://www.airbnb.com/users/show/150143318","Djama","9/11/2017","Brussels, Brussels, Belgium","N/A","N/A","100%","f","https://a0.muscache.com/im/pictures/user/53ba2316-06d3-4f9c-a379-df0c0ac2d4b0.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/53ba2316-06d3-4f9c-a379-df0c0ac2d4b0.jpg?aki_policy=profile_x_medium","Anneessens",1,1,"['email', 'phone', 'reviews', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']","t","t","Bruxelles, Bruxelles, Belgium","Anneessens","Bruxelles",NA,"Brussel","Bruxelles","1000","Brussels","Bruxelles, Belgium","BE","Belgium",50.84065,4.34079,"t","Apartment","Entire home/apt",2,1.5,1,1,"Real Bed",NA,"$70.00 ","","","$0.00 ","$10.00 ",1,"$10.00 ",3,30,3,3,1125,1125,3,1125,"t",29,59,89,89,"4/19/2020",8,2,"10/12/2017","9/22/2019",97,9,10,10,9,9,9,NA,"t","f","flexible","f","f",1,1,0,0,0.26,"Brussels"
"3593",6175,20903023,"https://www.airbnb.com/rooms/20903023",150175581,"https://www.airbnb.com/users/show/150175581","Nabil","9/11/2017","Brussels, Brussels, Belgium","N/A","N/A","100%","f","https://a0.muscache.com/im/pictures/user/db17ae94-15b1-445b-a284-6bf2bc4581eb.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/db17ae94-15b1-445b-a284-6bf2bc4581eb.jpg?aki_policy=profile_x_medium","Stalingrad",1,1,"['email', 'phone']","t","f","Bruxelles, Bruxelles, Belgium","Bruxelles-Ville","Bruxelles",NA,"Brussel","Bruxelles","1000","Brussels","Bruxelles, Belgium","BE","Belgium",50.84301,4.34567,"t","Apartment","Private room",2,1,1,1,"Real Bed",NA,"$45.00 ","","","","",1,"$0.00 ",2,8,2,3,8,8,2.7,8,"t",0,0,0,0,"4/19/2020",20,1,"3/25/2018","6/18/2019",88,10,7,10,10,10,9,NA,"t","f","strict_14_with_grace_period","f","f",1,0,1,0,0.79,"Brussels"
